rank,token,count
655,perfect,3205
656,rap,3194
657,blame,3191
658,ring,3185
659,midnight,3184
660,style,3183
661,sorry,3172
662,giving,3164
663,dog,3160
664,livin,3159
665,hang,3140
666,walls,3134
667,trust,3126
668,christmas,3115
669,skin,3114
670,half,3107
671,gimme,3090
672,holy,3082
673,love's,3072
674,ice,3064
675,telling,3051
676,she'll,3050
677,closer,3049
678,dreaming,3045
679,working,3045
680,sign,3037
681,singing,3033
682,father,3028
683,fell,3025
684,pride,3024
685,brain,3014
686,second,2991
687,lips,2975
688,beautiful,2972
689,tough,2967
690,dear,2967
691,shame,2963
692,year,2944
693,feelin,2940
694,walked,2939
695,green,2937
696,shadows,2931
697,phone,2929
698,de,2928
699,shining,2926
700,mouth,2912
701,pull,2911
702,worry,2890
703,gettin,2887
704,loud,2883
705,doubt,2877
706,dying,2877
707,thousand,2876
708,fuck,2876
709,talkin,2873
710,space,2870
711,glory,2868
712,secret,2868
713,thank,2864
714,million,2849
715,human,2849
716,someday,2847
717,daddy,2840
718,breath,2836
719,breaking,2835
720,longer,2832
721,ba,2831
722,rockin,2828
723,mr,2810
724,fill,2801
725,shoes,2798
726,shit,2798
727,doin,2797
728,wear,2795
729,runnin,2791
730,groove,2788
731,means,2787
732,memories,2785
733,meant,2783
734,country,2774
735,treat,2770
736,fade,2758
737,memory,2756
738,ones,2750
739,news,2746
740,hour,2737
741,stranger,2735
742,jump,2732
743,bye,2731
744,spirit,2724
745,within,2721
746,point,2719
747,cos,2718
748,price,2715
749,rhyme,2709
750,faith,2704
751,promise,2702
752,pick,2697
753,crowd,2693
754,ago,2687
755,ten,2684
756,ladies,2678
757,worth,2677
758,women,2669
759,glad,2663
760,taste,2661
761,push,2661
762,damn,2656
763,repeat,2646
764,here's,2645
765,anyone,2639
766,fighting,2638
767,drop,2636
768,hello,2634
769,waste,2605
770,kids,2603
771,almost,2598
772,jam,2596
773,turns,2594
774,okay,2594
775,small,2590
776,happen,2584
777,lying,2574
778,paradise,2563
779,front,2562
780,fi,2548
781,race,2545
782,dirty,2542
783,survive,2541
784,loose,2541
785,kick,2538
786,died,2531
787,wine,2528
788,broke,2527
789,minute,2518
790,danger,2517
791,changed,2516
792,crime,2506
793,funny,2497
794,miles,2495
795,job,2491
796,devil,2469
797,sense,2467
798,quite,2459
799,dawn,2458
800,c'mon,2454
801,searching,2449
802,corner,2441
803,finally,2433
804,count,2430
805,flame,2427
806,rules,2426
807,funk,2423
808,belong,2419
809,sex,2411
810,sin,2407
811,storm,2407
812,shadow,2407
813,sick,2406
814,thoughts,2401
815,choose,2398
816,begin,2388
817,wife,2385
818,middle,2385
819,picture,2381
820,tryin,2379
821,ahead,2377
822,somehow,2364
823,played,2362
824,queen,2361
825,sitting,2359
826,kid,2357
827,games,2356
828,few,2351
829,whatever,2351
830,key,2346
831,songs,2346
832,hungry,2343
833,anyway,2343
834,tv,2339
835,master,2333
836,everybody's,2333
837,shoot,2331
838,held,2330
839,starts,2325
840,faces,2324
841,passion,2313
842,yesterday,2312
843,state,2309
844,taken,2304
845,family,2303
846,hip,2297
847,everyday,2297
848,freak,2294
849,seven,2292
850,mess,2289
851,wide,2289
852,act,2283
853,having,2272
854,sister,2259
855,six,2253
856,wings,2251
857,band,2249
858,fresh,2246
859,losing,2244
860,luck,2244
861,law,2242
862,woo,2239
863,realize,2231
864,they've,2227
865,write,2219
866,romance,2214
867,clean,2214
868,angels,2207
869,edge,2207
870,hoo,2205
871,thunder,2203
872,tree,2200
873,boogie,2199
874,lucky,2198
875,return,2197
876,mirror,2195
877,clothes,2194
878,steal,2188
879,smoke,2182
880,book,2178
881,mountain,2175
882,ma,2175
883,dust,2164
884,strength,2159
885,man's,2158
886,scene,2157
887,dry,2150
888,flesh,2142
889,sand,2140
890,west,2138
891,piece,2138
892,plan,2137
893,scared,2132
894,beyond,2130
895,golden,2120
896,others,2118
897,weak,2117
898,mic,2105
899,lines,2104
900,ball,2104
901,insane,2098
902,filled,2097
903,rhymes,2094
904,brand,2094
905,learned,2092
906,praise,2089
907,stick,2088
908,fantasy,2087
909,machine,2080
910,slip,2079
911,stuff,2077
912,pleasure,2077
913,silver,2073
914,mercy,2072
915,needed,2070
916,hanging,2068
917,ocean,2064
918,driving,2057
919,we'd,2055
920,bet,2054
921,cried,2053
922,heavy,2053
923,deal,2047
924,skies,2046
925,sounds,2042
926,haven't,2037
927,york,2028
928,proud,2025
929,silence,2024
930,rather,2014
931,twice,2011
932,th,2008
933,cover,2003
934,message,1997
935,age,1993
936,fact,1984
937,glass,1983
938,dancin,1978
939,kept,1976
940,sugar,1975
941,bop,1969
942,hours,1965
943,given,1961
944,clouds,1956
945,fate,1945
946,safe,1945
947,rich,1944
948,action,1936
949,ow,1935
950,mystery,1934
951,simple,1932
952,happened,1928
953,knowing,1921
954,knock,1920
955,flow,1920
956,steel,1917
957,beside,1910
958,guitar,1910
959,it'll,1908
960,less,1908
961,bang,1905
962,laughing,1901
963,become,1900
964,escape,1896
965,missing,1893
966,choice,1893
967,hurts,1891
968,asked,1882
969,ran,1882
970,attack,1879
971,later,1879
