token,left_label,right_label,cosine_similarity,cosine_distance,left_count,right_count,min_count,max_count,mean_count,count_ratio_max_to_min,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags
rag,1980_1989,1990_1999,0.4298696219921112,0.5701303780078888,314,866,314,866,590.0,2.7579617834394905,True,False,False,False,False,False,
tho,1980_1989,1990_1999,0.4300939440727234,0.5699060559272766,108,317,108,317,212.5,2.935185185185185,True,False,False,False,False,False,
awesome,1980_1989,1990_1999,0.4302383065223694,0.5697616934776306,210,631,210,631,420.5,3.0047619047619047,True,False,False,False,False,False,
limbo,1980_1989,1990_1999,0.4304192066192627,0.5695807933807373,247,376,247,376,311.5,1.5222672064777327,True,False,False,False,False,False,
discipline,1980_1989,1990_1999,0.43080705404281616,0.5691929459571838,136,313,136,313,224.5,2.301470588235294,True,False,False,False,False,False,
sly,1980_1989,1990_1999,0.43082499504089355,0.5691750049591064,190,390,190,390,290.0,2.0526315789473686,True,False,False,False,False,False,
pal,1980_1989,1990_1999,0.43099579215049744,0.5690042078495026,190,486,190,486,338.0,2.557894736842105,True,False,False,False,False,False,
poetry,1980_1989,1990_1999,0.43153300881385803,0.568466991186142,302,921,302,921,611.5,3.0496688741721854,True,False,False,False,False,False,
major,1980_1989,1990_1999,0.4319815933704376,0.5680184066295624,323,1445,323,1445,884.0,4.473684210526316,True,False,False,False,False,False,
woh,1980_1989,1990_1999,0.4321012496948242,0.5678987503051758,695,716,695,716,705.5,1.0302158273381294,True,False,False,False,False,False,
git,1980_1989,1990_1999,0.4321819245815277,0.5678180754184723,120,578,120,578,349.0,4.816666666666666,True,False,False,False,False,False,
guy's,1980_1989,1990_1999,0.4322969913482666,0.5677030086517334,104,171,104,171,137.5,1.6442307692307692,True,False,False,False,False,False,
wee,1980_1989,1990_1999,0.4323541224002838,0.5676458775997162,575,1185,575,1185,880.0,2.0608695652173914,True,False,False,False,False,False,
tin,1980_1989,1990_1999,0.43235525488853455,0.5676447451114655,389,781,389,781,585.0,2.007712082262211,True,False,False,False,False,False,
