token,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags,min_count_all_labels,max_count_all_labels,mean_count_all_labels,count_ratio_max_to_min,count_cv_all_labels,range_cosine_similarity,range_cosine_distance,adjacent_distance_mean,adjacent_distance_sum,adjacent_distance_max,dominant_jump_pair,one_step_dominance,count_1960_1969,count_1970_1979,count_1980_1989,count_1990_1999,count_2000_2009,count_2010_2019,cos_1960_1969__to__1970_1979,cos_1970_1979__to__1980_1989,cos_1980_1989__to__1990_1999,cos_1990_1999__to__2000_2009,cos_2000_2009__to__2010_2019,dist_1960_1969__to__1970_1979,dist_1970_1979__to__1980_1989,dist_1980_1989__to__1990_1999,dist_1990_1999__to__2000_2009,dist_2000_2009__to__2010_2019
wreck,True,False,False,False,False,False,,120,12522,3253.3333333333335,104.35,1.3358544278684172,0.3475572168827057,0.6524427831172943,0.4087789714336395,2.0438948571681976,0.6024032533168793,1980_1989__to__1990_1999,0.2947329952928718,120,194,391,3037,3256,12522,0.6223248243331909,0.5364000797271729,0.3975967466831207,0.6391878724098206,0.7605956196784973,0.3776751756668091,0.46359992027282715,0.6024032533168793,0.36081212759017944,0.23940438032150269
finish,True,False,False,False,False,False,,105,27804,5735.0,264.8,1.7375755889581919,0.44809260964393616,0.5519073903560638,0.3997769713401794,1.9988848567008972,0.6013568043708801,1970_1979__to__1980_1989,0.3008461454670293,105,222,518,1623,4138,27804,0.598936915397644,0.3986431956291199,0.5506320595741272,0.6779013872146606,0.775001585483551,0.40106308460235596,0.6013568043708801,0.4493679404258728,0.32209861278533936,0.22499841451644897
george,True,False,False,False,False,False,,233,6224,1662.0,26.71244635193133,1.2635954946477557,0.3656965494155884,0.6343034505844116,0.5226153075695038,2.613076537847519,0.6000312268733978,1970_1979__to__1980_1989,0.22962634970029014,233,327,543,908,1737,6224,0.4669356346130371,0.3999687731266022,0.43690797686576843,0.47400251030921936,0.609108567237854,0.5330643653869629,0.6000312268733978,0.5630920231342316,0.5259974896907806,0.390891432762146
america,True,False,False,False,False,False,,237,15416,4219.5,65.0464135021097,1.2290614914045366,0.3399115800857544,0.6600884199142456,0.46303723454475404,2.31518617272377,0.5998705327510834,1960_1969__to__1970_1979,0.25910250321050754,237,892,1688,2607,4477,15416,0.4001294672489166,0.5195128917694092,0.5412821769714355,0.5242707133293152,0.6996185779571533,0.5998705327510834,0.4804871082305908,0.45871782302856445,0.4757292866706848,0.3003814220428467
cheap,True,False,False,False,False,False,,128,20718,4984.166666666667,161.859375,1.4489763620325842,0.3155094385147095,0.6844905614852905,0.4090967416763306,2.045483708381653,0.5996140837669373,1960_1969__to__1970_1979,0.2931404837447179,128,500,1119,2386,5054,20718,0.40038591623306274,0.547143280506134,0.5379177927970886,0.6967519521713257,0.7723173499107361,0.5996140837669373,0.45285671949386597,0.4620822072029114,0.3032480478286743,0.22768265008926392
banks,True,False,False,False,False,False,,153,5532,1414.1666666666667,36.15686274509804,1.3464154122281575,0.41110357642173767,0.5888964235782623,0.4383205771446228,2.191602885723114,0.5992617011070251,1980_1989__to__1990_1999,0.27343534953838144,153,189,264,809,1538,5532,0.7224498391151428,0.5278863906860352,0.40073829889297485,0.5193971991539001,0.637925386428833,0.2775501608848572,0.47211360931396484,0.5992617011070251,0.48060280084609985,0.362074613571167
whoo,True,False,False,False,False,False,,207,10880,2856.0,52.56038647342995,1.2779572274136555,0.4122728109359741,0.5877271890640259,0.5589924097061157,2.7949620485305786,0.597205638885498,2000_2009__to__2010_2019,0.21367218177415773,207,1051,1225,1283,2490,10880,0.47603416442871094,0.4717840552330017,0.4184201955795288,0.436005175113678,0.40279436111450195,0.5239658355712891,0.5282159447669983,0.5815798044204712,0.563994824886322,0.597205638885498
wah,True,False,False,False,False,False,,673,10135,2612.5,15.059435364041605,1.3001351934535044,0.23980079591274261,0.7601992040872574,0.502464371919632,2.51232185959816,0.5957150757312775,1990_1999__to__2000_2009,0.23711733966545223,673,743,754,1367,2003,10135,0.4780571460723877,0.5281853079795837,0.5154232978820801,0.40428492426872253,0.5617274641990662,0.5219428539276123,0.47181469202041626,0.4845767021179199,0.5957150757312775,0.43827253580093384
crack,True,False,False,False,False,False,,156,47836,11518.166666666666,306.64102564102564,1.4628417215006264,0.3351301848888397,0.6648698151111603,0.3577034831047058,1.788517415523529,0.5956764817237854,1970_1979__to__1980_1989,0.3330560141900664,156,357,1623,6018,13119,47836,0.5483641624450684,0.4043235182762146,0.6438086628913879,0.7769420742988586,0.8380441665649414,0.45163583755493164,0.5956764817237854,0.35619133710861206,0.22305792570114136,0.1619558334350586
cha,True,False,False,False,False,False,,428,10133,3095.8333333333335,23.675233644859812,1.0911066122005793,0.2290964424610138,0.7709035575389862,0.5525444924831391,2.762722462415695,0.595097541809082,1960_1969__to__1970_1979,0.21540257840041416,428,542,1129,2329,4014,10133,0.40490245819091797,0.45764756202697754,0.4796028435230255,0.4646316170692444,0.4304930567741394,0.595097541809082,0.5423524379730225,0.5203971564769745,0.5353683829307556,0.5695069432258606
