token,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags,min_count_all_labels,max_count_all_labels,mean_count_all_labels,count_ratio_max_to_min,count_cv_all_labels,range_cosine_similarity,range_cosine_distance,adjacent_distance_mean,adjacent_distance_sum,adjacent_distance_max,dominant_jump_pair,one_step_dominance,count_1960_1969,count_1970_1979,count_1980_1989,count_1990_1999,count_2000_2009,count_2010_2019,cos_1960_1969__to__1970_1979,cos_1970_1979__to__1980_1989,cos_1980_1989__to__1990_1999,cos_1990_1999__to__2000_2009,cos_2000_2009__to__2010_2019,dist_1960_1969__to__1970_1979,dist_1970_1979__to__1980_1989,dist_1980_1989__to__1990_1999,dist_1990_1999__to__2000_2009,dist_2000_2009__to__2010_2019
wah,True,False,False,False,False,False,,673,10135,2612.5,15.059435364041605,1.3001351934535044,0.23980079591274261,0.7601992040872574,0.502464371919632,2.51232185959816,0.5957150757312775,1990_1999__to__2000_2009,0.23711733966545223,673,743,754,1367,2003,10135,0.4780571460723877,0.5281853079795837,0.5154232978820801,0.40428492426872253,0.5617274641990662,0.5219428539276123,0.47181469202041626,0.4845767021179199,0.5957150757312775,0.43827253580093384
goose,True,False,False,False,False,False,,137,6633,1480.0,48.416058394160586,1.5801021070217456,0.2433476448059082,0.7566523551940918,0.4307409763336182,2.153704881668091,0.5175565779209137,1980_1989__to__1990_1999,0.24030988754599236,137,206,163,449,1292,6633,0.4884220063686371,0.6046786904335022,0.4824434220790863,0.5468934774398804,0.7238575220108032,0.5115779936313629,0.3953213095664978,0.5175565779209137,0.45310652256011963,0.2761424779891968
sparrow,True,False,False,False,False,False,,111,1720,502.1666666666667,15.495495495495495,1.1188050632748219,0.2506679892539978,0.7493320107460022,0.42494471073150636,2.1247235536575317,0.5113554000854492,1960_1969__to__1970_1979,0.2406691445600978,230,150,111,261,541,1720,0.4886445999145508,0.5498456358909607,0.6061338782310486,0.5850599408149719,0.6455923914909363,0.5113554000854492,0.4501543641090393,0.3938661217689514,0.4149400591850281,0.3544076085090637
woh,True,False,False,False,False,False,,107,2835,891.6666666666666,26.49532710280374,1.005849326439773,0.2544783055782318,0.7455216944217682,0.5673802077770234,2.8369010388851166,0.6647201776504517,2000_2009__to__2010_2019,0.23431207805249432,107,332,695,716,665,2835,0.4773530960083008,0.5023244619369507,0.4321012496948242,0.4160403311252594,0.33527982234954834,0.5226469039916992,0.4976755380630493,0.5678987503051758,0.5839596688747406,0.6647201776504517
gang,True,False,False,False,False,False,,240,124997,22423.0,520.8208333333333,2.0472845127627357,0.25571537017822266,0.7442846298217773,0.49665722250938416,2.4832861125469208,0.5237028300762177,2000_2009__to__2010_2019,0.2108910557789472,240,381,704,3023,5193,124997,0.5068055987358093,0.47817936539649963,0.4861815273761749,0.569250226020813,0.47629716992378235,0.4931944012641907,0.5218206346035004,0.5138184726238251,0.430749773979187,0.5237028300762177
limbo,True,False,False,False,False,False,,108,2869,694.1666666666666,26.564814814814813,1.4104203650682525,0.2558048367500305,0.7441951632499695,0.5651636958122254,2.8258184790611267,0.7218293845653534,1960_1969__to__1970_1979,0.25544081826698933,108,145,247,376,420,2869,0.2781706154346466,0.534373939037323,0.4304192066192627,0.4759316146373749,0.4552861452102661,0.7218293845653534,0.465626060962677,0.5695807933807373,0.5240683853626251,0.5447138547897339
mill,True,False,False,False,False,False,,163,9637,2061.5,59.122699386503065,1.6607369600687951,0.2593052089214325,0.7406947910785675,0.3816474676132202,1.908237338066101,0.4871329069137573,1980_1989__to__1990_1999,0.2552789934439922,178,163,180,648,1563,9637,0.6449872255325317,0.6048770546913147,0.5128670930862427,0.6312351822853088,0.697796106338501,0.35501277446746826,0.3951229453086853,0.4871329069137573,0.36876481771469116,0.302203893661499
stagger,True,False,False,False,False,False,,103,855,310.8333333333333,8.300970873786408,0.8521450146151689,0.25932955741882324,0.7406704425811768,0.47301100492477416,2.365055024623871,0.560671865940094,1980_1989__to__1990_1999,0.2370650408141185,129,103,103,293,382,855,0.5383564829826355,0.5752913355827332,0.439328134059906,0.5528987646102905,0.529070258140564,0.4616435170173645,0.42470866441726685,0.560671865940094,0.4471012353897095,0.47092974185943604
whip,True,False,False,False,False,False,,119,69595,13043.666666666666,584.8319327731092,1.9439732888159087,0.25957128405570984,0.7404287159442902,0.44281556010246276,2.214077800512314,0.605791300535202,1980_1989__to__1990_1999,0.2736088589095778,119,325,752,1934,5537,69595,0.5602025985717773,0.508549690246582,0.394208699464798,0.5824774503707886,0.7404837608337402,0.43979740142822266,0.49145030975341797,0.605791300535202,0.4175225496292114,0.25951623916625977
kicks,True,False,False,False,False,False,,171,15096,3440.6666666666665,88.28070175438596,1.5435295708372199,0.25959283113479614,0.7404071688652039,0.3703127682209015,1.8515638411045074,0.5508422553539276,1980_1989__to__1990_1999,0.2975010869867363,171,331,462,1424,3160,15096,0.6738247275352478,0.658486008644104,0.4491577446460724,0.6231018900871277,0.7438657879829407,0.3261752724647522,0.341513991355896,0.5508422553539276,0.3768981099128723,0.2561342120170593
granny,True,False,False,False,False,False,,124,4775,990.8333333333334,38.50806451612903,1.7114470343410035,0.26003390550613403,0.739966094493866,0.49201048612594606,2.4600524306297302,0.5530348718166351,1970_1979__to__1980_1989,0.22480613215022735,124,207,135,254,450,4775,0.46820876002311707,0.44696512818336487,0.5033740401268005,0.49665629863739014,0.6247433423995972,0.5317912399768829,0.5530348718166351,0.49662595987319946,0.5033437013626099,0.37525665760040283
dancer,True,False,False,False,False,False,,111,5940,1537.5,53.513513513513516,1.3023872723326966,0.26040083169937134,0.7395991683006287,0.464953625202179,2.3247681260108948,0.6466525197029114,1960_1969__to__1970_1979,0.27815785689238276,111,475,638,723,1338,5940,0.3533474802970886,0.5827887058258057,0.5770597457885742,0.5616829991340637,0.600352942943573,0.6466525197029114,0.41721129417419434,0.4229402542114258,0.4383170008659363,0.399647057056427
