rank,token,count
903,it'll,1256
904,realize,1251
905,picture,1248
906,heat,1248
907,nine,1247
908,life's,1245
909,everyday,1244
910,sounds,1244
911,mi,1238
912,ow,1237
913,style,1236
914,rainbow,1233
915,there'll,1230
916,mess,1228
917,middle,1228
918,front,1226
919,desire,1225
920,mercy,1223
921,hurry,1222
922,passing,1222
923,repeat,1217
924,drop,1214
925,turns,1213
926,paradise,1208
927,john,1207
928,rockin,1207
929,somethin,1204
930,hungry,1202
931,spent,1200
932,searching,1199
933,singin,1196
934,smiling,1195
935,starts,1186
936,kid,1182
937,brothers,1181
938,hurts,1178
939,kinda,1176
940,others,1172
941,knock,1169
942,hundred,1167
943,laughing,1166
944,wheel,1165
945,bear,1164
946,twenty,1164
947,sleeping,1162
948,dee,1162
949,thinkin,1161
950,bar,1160
951,sang,1156
952,skin,1156
953,book,1156
954,check,1156
955,fingers,1153
956,ma,1149
957,stick,1147
958,flow,1145
959,breath,1139
960,she'd,1137
961,count,1133
962,began,1129
963,glass,1129
964,tender,1127
965,rich,1126
966,storm,1126
967,scene,1122
968,moonlight,1121
969,none,1120
970,price,1118
971,join,1117
972,ooo,1116
973,mouth,1116
974,riding,1115
975,mister,1114
976,sin,1113
977,welcome,1112
978,instead,1103
979,breeze,1102
980,ease,1095
981,return,1091
982,plan,1090
983,breaking,1090
984,beyond,1090
985,waitin,1089
986,laid,1086
987,climb,1083
988,track,1082
989,swear,1082
990,choose,1078
991,dollar,1073
992,th,1069
993,california,1069
994,passed,1068
995,steal,1068
996,anybody,1067
997,laughter,1067
998,secret,1066
999,gives,1064
1000,beauty,1063
1001,seemed,1057
1002,wrote,1057
1003,boom,1053
1004,dem,1052
1005,given,1051
1006,short,1051
1007,whoo,1051
1008,changing,1051
1009,okay,1050
1010,shadow,1049
1011,south,1046
1012,games,1043
1013,precious,1037
1014,twice,1037
1015,sick,1037
1016,later,1036
1017,walls,1035
1018,single,1033
1019,waste,1030
1020,bum,1030
1021,slip,1029
1022,faith,1026
1023,piece,1024
1024,shines,1021
1025,dust,1019
1026,become,1017
1027,thrill,1014
1028,ol,1014
1029,mountains,1013
1030,below,1012
1031,insane,1011
1032,perfect,1010
1033,bottle,1010
1034,human,1008
1035,push,1008
1036,sittin,1007
1037,beneath,1006
1038,givin,1005
1039,saved,1005
1040,playin,1003
1041,romance,1003
1042,lines,1000
1043,driving,994
1044,yellow,993
1045,thunder,989
1046,mirror,988
1047,fallin,988
1048,shoot,987
1049,tells,987
1050,deal,986
1051,business,986
1052,stopped,986
1053,age,982
1054,week,982
1055,angels,981
1056,bells,981
1057,ice,980
1058,troubles,978
1059,sense,974
1060,wondering,972
1061,gentle,970
1062,melody,970
1063,point,970
1064,grass,968
1065,fighting,965
1066,leavin,964
1067,sent,963
1068,weather,962
1069,lots,957
1070,cares,954
1071,whenever,954
1072,grey,954
1073,begun,953
1074,anywhere,952
1075,joe,947
1076,shore,941
1077,less,940
1078,thee,938
1079,wise,937
1080,dread,936
1081,fit,936
1082,bought,935
1083,suddenly,930
1084,winds,928
1085,sunny,927
1086,sat,924
1087,spread,917
1088,survive,917
1089,taught,916
1090,billy,916
1091,spell,916
1092,teach,915
1093,weak,915
1094,foot,914
1095,flame,913
1096,scream,912
1097,ought,910
1098,bread,910
1099,surprise,910
1100,takin,909
1101,grown,909
1102,softly,909
1103,pretend,908
1104,load,908
1105,married,906
1106,already,906
1107,baby's,905
1108,hoping,904
1109,explain,904
1110,bless,903
1111,hallelujah,902
1112,telephone,902
1113,papa,901
1114,law,895
1115,grows,894
1116,bridge,893
1117,beginning,893
1118,fools,892
1119,drinking,892
1120,eight,892
1121,america,892
1122,whisper,891
1123,hall,889
1124,bone,888
1125,fate,887
1126,cup,887
1127,mystery,887
1128,everything's,884
1129,plain,882
1130,horse,882
1131,cloud,882
1132,paper,882
1133,praise,881
1134,stronger,878
1135,daughter,878
1136,kick,878
1137,raise,877
1138,safe,877
1139,bell,877
1140,pack,875
1141,older,871
1142,workin,868
1143,case,863
1144,natural,862
1145,smiles,859
1146,ear,859
1147,table,856
1148,rising,856
1149,garden,850
1150,hills,850
1151,misery,847
1152,wheels,847
1153,fact,847
1154,search,846
1155,roses,845
1156,woke,844
1157,merry,844
1158,quiet,843
1159,double,843
1160,asking,842
1161,rules,841
1162,quit,841
1163,sayin,840
1164,bones,838
1165,promised,837
1166,act,837
1167,won,836
1168,hat,835
1169,hole,834
1170,hi,831
1171,hung,831
1172,kissed,829
1173,guide,828
1174,message,828
1175,ends,826
1176,paid,826
1177,rough,824
1178,minds,824
1179,fancy,823
1180,least,822
1181,dress,821
1182,lazy,819
1183,beer,819
1184,missing,817
1185,seeing,817
1186,company,816
1187,row,816
1188,flower,815
1189,bill,815
1190,silent,813
1191,silence,812
1192,freak,808
1193,plans,807
1194,dime,807
1195,fame,806
1196,touched,806
1197,ears,805
1198,heads,805
1199,they'd,805
1200,rhyme,805
1201,station,804
