token,left_label,right_label,cosine_similarity,cosine_distance,left_count,right_count,min_count,max_count,mean_count,count_ratio_max_to_min,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags
playboy,1960_1969,2010_2019,0.29176557064056396,0.708234429359436,102,2106,102,2106,1104.0,20.647058823529413,True,False,False,False,False,False,
sock,1960_1969,2010_2019,0.29193592071533203,0.708064079284668,269,5375,269,5375,2822.0,19.981412639405203,True,False,False,False,False,False,
main,1960_1969,2010_2019,0.2920688986778259,0.7079311013221741,158,26286,158,26286,13222.0,166.36708860759492,True,False,False,False,False,False,
bull,1960_1969,2010_2019,0.2923661172389984,0.7076338827610016,255,9483,255,9483,4869.0,37.188235294117646,True,False,False,False,False,False,
wa,1960_1969,2010_2019,0.29274076223373413,0.7072592377662659,266,9569,266,9569,4917.5,35.973684210526315,False,True,False,False,False,False,too_short
ee,1960_1969,2010_2019,0.29361122846603394,0.7063887715339661,681,6189,681,6189,3435.0,9.088105726872246,False,True,False,False,False,False,too_short
flows,1960_1969,2010_2019,0.29437917470932007,0.7056208252906799,200,27727,200,27727,13963.5,138.635,True,False,False,False,False,False,
toot,1960_1969,2010_2019,0.2944995164871216,0.7055004835128784,126,1971,126,1971,1048.5,15.642857142857142,True,False,False,False,False,False,
toe,1960_1969,2010_2019,0.29460322856903076,0.7053967714309692,194,17186,194,17186,8690.0,88.58762886597938,True,False,False,False,False,False,
oo,1960_1969,2010_2019,0.2948598861694336,0.7051401138305664,802,29469,802,29469,15135.5,36.744389027431424,False,True,False,False,False,False,too_short
court,1960_1969,2010_2019,0.2959560751914978,0.7040439248085022,147,14898,147,14898,7522.5,101.34693877551021,True,False,False,False,False,False,
fa,1960_1969,2010_2019,0.29597628116607666,0.7040237188339233,358,8318,358,8318,4338.0,23.23463687150838,False,True,False,False,False,False,too_short
coo,1960_1969,2010_2019,0.2967187762260437,0.7032812237739563,138,2895,138,2895,1516.5,20.97826086956522,True,False,False,False,False,False,
force,1960_1969,2010_2019,0.2979697585105896,0.7020302414894104,111,30351,111,30351,15231.0,273.43243243243245,True,False,False,False,False,False,
pipe,1960_1969,2010_2019,0.29857903718948364,0.7014209628105164,121,19020,121,19020,9570.5,157.1900826446281,True,False,False,False,False,False,
mona,1960_1969,2010_2019,0.29893022775650024,0.7010697722434998,165,3262,165,3262,1713.5,19.76969696969697,True,False,False,False,False,False,
ron,1960_1969,2010_2019,0.29980435967445374,0.7001956403255463,172,2725,172,2725,1448.5,15.843023255813954,True,False,False,False,False,False,
tommy,1960_1969,2010_2019,0.300191730260849,0.699808269739151,117,7464,117,7464,3790.5,63.794871794871796,False,False,False,False,True,False,probable_name
harlem,1960_1969,2010_2019,0.300912082195282,0.699087917804718,149,4724,149,4724,2436.5,31.70469798657718,True,False,False,False,False,False,
lee,1960_1969,2010_2019,0.30131766200065613,0.6986823379993439,828,9848,828,9848,5338.0,11.893719806763285,True,False,False,False,False,False,
tin,1960_1969,2010_2019,0.30230793356895447,0.6976920664310455,193,3944,193,3944,2068.5,20.435233160621763,True,False,False,False,False,False,
spanish,1960_1969,2010_2019,0.30239808559417725,0.6976019144058228,223,7056,223,7056,3639.5,31.641255605381165,True,False,False,False,False,False,
murder,1960_1969,2010_2019,0.3024425804615021,0.6975574195384979,120,42633,120,42633,21376.5,355.275,True,False,False,False,False,False,
umm,1960_1969,2010_2019,0.30281171202659607,0.6971882879734039,163,3015,163,3015,1589.0,18.496932515337424,True,False,False,False,False,False,
split,1960_1969,2010_2019,0.30319270491600037,0.6968072950839996,134,26065,134,26065,13099.5,194.51492537313433,True,False,False,False,False,False,
